Name,Appearance,Homeworld,Species,Gender,Affiliation,Alliance,File_Name
Hermione Bagwa,[2],[],['Human'],['Female'],"[""Dex's Diner""]",,Hermione Bagwa
Agrippa Aldrete,[1],['Alderaan'],['Human (Alderaanian)'],['Male'],"['Galactic Republic', 'Alderaanian delegation']",Good,Agrippa Aldrete
Barquin D'an,[6],['Bith'],['Bith'],['Male'],['Max Rebo Band'],,Barquin D'an
Wittin,[6],['Tatooine'],['Jawa'],[],"[""Jabba Desilijic Tiure's criminal empire""]",,Wittin
Kitster Banai,[1],['Tatooine'],['Human'],['Male'],[],,Kitster Banai
Dopheld Mitaka,[7],[],['Human'],['Male'],"['First Order', 'First Order Navy']",Evil,Dopheld Mitaka
Oskus Stooratt,[7],[],['Human'],['Male'],[],,Oskus Stooratt
Orn Free Taa,"[1, 2, 3]",['Ryloth'],"[""Twi'lek (Rutian)""]",['Male'],"['Galactic Republic', 'Loyalist Committee', 'Galactic Empire', 'Imperial Senate']",Good,Orn Free Taa
Pote Snitkin,[6],['Agriworld-2079'],['Skrilling'],['Male'],"[""Jabba Desilijic Tiure's criminal empire""]",,Pote Snitkin
Service droid,"[7, 8]",[],[],[],[],,Service droid
Velken Tezeri,[6],[],['Human'],['Male'],"[""Jabba Desilijic Tiure's criminal empire""]",,Velken Tezeri
Grimtaash,"[4, 7]",[],[],[],[],,Grimtaash
FN-1824,[7],[],['Human'],['Male'],"['First Order', 'FN Corps']",Evil,FN-1824
Rodent,"[4, 6, 9]",[],[],[],[],,Rodent
Fantabu,[7],[],[],[],[],,Fantabu
Unidentified male First Order officer 2,[7],[],['Human'],['Male'],"['First Order', 'First Order military']",Evil,Unidentified male First Order officer 2
Scalefin fish,[8],"['Ahch-To', 'Corellia']",[],[],[],,Scalefin fish
IT-S00.2 medical droid,[8],[],['Droid'],[],['First Order'],Evil,IT-S00.2 medical droid
Avga Rosene,[7],[],['Zuzabol'],[],['Resistance'],Good,Avga Rosene
FN-1226,[9],[],['Human'],['Male'],"['First Order', 'FN Corps']",Evil,FN-1226
Wooof,[6],['Kintan'],"[""Nikto (Kadas'sa'Nikto)""]",[],"[""Jabba Desilijic Tiure's criminal empire""]",,Wooof
Huetrin Jones,[8],[],['Human'],['Male'],"['Resistance', 'Resistance navy']",Good,Huetrin Jones
J'oopi Shé,[3],['Kintan'],"[""Nikto (Kadas'sa'Nikto)""]",['Male'],"['Jedi Order', 'Technical division', 'Galactic Republic']",Jedi,J'oopi Shé
Liana Merian,[1],['Alderaan'],['Human (Alderaanian)'],['Female'],"['Galactic Republic', 'Alderaanian delegation']",Good,Liana Merian
Gannis Ducain,[7],[],"[""Nikto (Kajain'sa'Nikto)""]",['Male'],"['Takodana Castle', 'Resistance']",Good,Gannis Ducain
Merl Cobben,[9],[],['Human'],['Male'],"['Resistance', 'Resistance Starfighter Corps']",Good,Merl Cobben
Pacer Agoyo,[9],['Nuja'],['Human'],['Male'],"['Resistance', 'Dross Squadron']",Good,Pacer Agoyo
Hrchek Kal Fas,[4],['Durkteel'],['Saurin'],['Male'],[],,Hrchek Kal Fas
Caluan Ematt,"[7, 8]",[],['Human'],['Male'],"['Alliance to Restore the Republic', 'Shrikes', 'Endor strike team', 'New Republic', 'New Republic Defense Force', 'Resistance', 'Resistance army', 'Resistance High Command']",Good,Caluan Ematt
Twylope Nur,[9],[],['Mohsenian'],['Male'],['Resistance'],Good,Twylope Nur
Arvel Crynyd,[6],[],['Human'],['Male'],"['Thyferran bacta cartel', 'Alliance to Restore the Republic', 'Green Squadron']",Good,Arvel Crynyd
Runyip,"[8, 9]",['Yavin 4'],[],[],[],,Runyip
Welding droid,[7],[],[],[],[],,Welding droid
Liam,[2],[],['Human'],['Male'],"['Jedi Order', 'Bear Clan']",Jedi,Liam
Unidentified sandtrooper captain,[4],[],['Human'],['Male'],"['Galactic Empire', 'Unidentified sandtrooper regiment']",,Unidentified sandtrooper captain
Unidentified Jedi youngling,[3],[],['Human'],['Male'],"['Galactic Republic', 'Jedi Order']",Jedi,Unidentified Jedi youngling
Umé,[3],[],['Human'],['Female'],[],,Umé
8D8,[6],[],['Droid'],['Masculine programming'],"[""Jabba's Palace""]",,8D8
Mandetat,[7],[],['Human'],['Male'],['First Order'],Evil,Mandetat
AV-6R7,[6],[],['Droid'],[],['Galactic Empire'],,AV-6R7
Hollé,[3],['Naboo'],['Human (Naboo)'],['Female'],"['Royal House of Naboo', 'Naboo Royal Handmaidens', 'Galactic Republic']",Good,Hollé
Exogorth,[5],['Unknown'],[],[],[],,Exogorth
Kithaba,[6],[],['Klatooinian'],['Male'],"[""Jabba Desilijic Tiure's criminal empire""]",,Kithaba
Eopie,"[1, 2, 3]","['Tatooine', 'Saleucami']",[],[],[],,Eopie
Riba,[5],['Hoth'],['Tauntaun'],['Female'],[],,Riba
Mantellian Savrip,"[4, 7, 9]",['Ord Mantell'],[],[],[],,Mantellian Savrip
Sonsigo,[7],['Bravais'],['Bravaisian'],[],[],,Sonsigo
Dasha Promenti,[7],['Jakku'],['Human'],['Female'],['Church of the Force'],,Dasha Promenti
R4-D6,[4],[],['Droid'],[],['Alliance to Restore the Republic'],Good,R4-D6
Lexi Dio,[2],[],['Human'],['Female'],"['Galactic Republic', 'Loyalist Committee']",Good,Lexi Dio
Saelt-Marae,[6],[],['Yarkora'],['Male'],"[""Jabba Desilijic Tiure's criminal empire""]",,Saelt-Marae
Porg Stowaway,[8],['Ahch-To'],['Porg'],['Male'],[],,Porg Stowaway
Jio Loster,[8],[],['Human'],['Male'],[],,Jio Loster
Dexter Jettster,[2],['Ojom'],['Besalisk'],['Male'],"[""Dex's Diner""]",,Dexter Jettster
Rute Gunnay,[3],[],['Neimoidian'],['Male'],"['Galactic Republic', 'Galactic Senate', 'Trade Federation', 'Confederacy of Independent Systems']",Good,Rute Gunnay
Cobb Sonbepol,[4],[],['Gotal'],[],[],,Cobb Sonbepol
Beytolim,[3],[],['Pacithhip'],[],[],,Beytolim
R-3DO,[7],[],['Droid'],[],"['Resistance', 'Resistance spy droid network']",Good,R-3DO
Dactillion,"[3, 9]","['Utapau', 'Shantipole']",[],[],[],,Dactillion
Bargwill Tomder,[8],['Galagolos V'],['Cloddogran'],['Male'],['Canto Casino and Racetrack'],,Bargwill Tomder
Shu Mai,"[2, 3]",['Castell'],['Gossam'],['Female'],"['Commerce Guild', 'Confederacy of Independent Systems', 'Executive Separatist Council']",,Shu Mai
GA servant droid,[7],[],['Droid'],[],['Resistance'],Good,GA servant droid
Rystáll Sant,"[3, 6]",['Coruscant'],['Human-Theelin hybrid'],['Female'],['Max Rebo Band'],,Rystáll Sant
Rock wart,[6],['Tatooine'],[],[],[],,Rock wart
Tasu Leech,[7],['Nar Kanji'],[],['Male'],"['Hutt Clan', ""T'onga's crew"", 'Kanjiklub']",,Tasu Leech
Raymus Antilles,"[3, 4]",['Alderaan'],['Human (Alderaanian)'],['Male'],"['House of Organa', ""Bail Organa's resistance movement"", 'Galactic Republic', 'Alliance to Restore the Republic', 'Alliance Military']",Good,Raymus Antilles
Wilhuff Tarkin,"[3, 4, 8]",['Eriadu'],"['Human', ' (Eriaduan)']",['Male'],"['Galactic Republic', 'Sullust Sector Spacefarers Academy', 'Judicial Forces', 'Galactic Republic Navy', 'Strategic Advisory Cell', 'Outland Regions Security Force', ""Outland's anti-pirate taskforce"", 'Galactic Empire', 'Battle Station Command', 'Imperial Officer Corps', 'Imperial Navy', 'Tarkin Initiative', ""Wilhuff Tarkin's hunting team""]",Good,Wilhuff Tarkin
Rey Skywalker,"[7, 8, 9]",['Jakku'],['Human'],['Female'],"['Palpatine family (renounced)', 'Resistance', 'Jedi Order', 'Skywalker family', ' (honorary)']",Jedi,Rey Skywalker
Stonroy Soma,[1],['Alderaan'],['Human (Alderaanian)'],['Male'],"['Galactic Republic', 'Alderaanian delegation']",Good,Stonroy Soma
Oki-poki,[9],['Pasaana'],[],[],[],,Oki-poki
I2-CG droid,[7],[],[],[],[],,I2-CG droid
Luke Skywalker,"[3, 4, 5, 6, 7, 8, 9]",['Tatooine'],['Human'],['Male'],"['Skywalker family', 'Lars family', 'Alliance to Restore the Republic', 'Red Squadron', 'Heroes of Yavin', 'Rogue Squadron', 'Endor strike team', 'Jedi Order', 'Bright Tree tribe (honorary member)', 'New Republic']",Jedi,Luke Skywalker
Rey's mother,"[7, 8, 9]",[],['Human'],['Female'],[],,Rey's mother
Unidentified Security Battle Droid,[1],[],['Droid'],['Masculine programming'],['Trade Federation'],,Unidentified Security Battle Droid
Unidentified Tatooine elder,[9],[],['Human'],['Female'],[],,Unidentified Tatooine elder
Eeusu Estornii,[3],[],[],['Female'],"['Galactic Republic', 'Galactic Senate']",Good,Eeusu Estornii
Thanisson,[7],[],['Human'],['Male'],"['First Order', 'First Order Navy']",Evil,Thanisson
Training droid,"[7, 9]",[],[],[],[],,Training droid
Wilsa Teshlo,[9],[],['Kessurian'],['Female'],"['Veiled Sorority', ""Citizens' Fleet""]",,Wilsa Teshlo
Baniss Keeg,[4],[],['Duros'],['Female'],[],,Baniss Keeg
TK-8332,[4],[],['Human'],[],"['Galactic Empire', '501st Legion']",,TK-8332
Whie Malreaux,[3],[],['Human'],['Male'],['Jedi Order'],Jedi,Whie Malreaux
Tishra Kandia,[9],[],['Human'],['Female'],"['First Order', 'First Order military']",Evil,Tishra Kandia
Wipolo Nagg,[9],['Batuu'],['Human'],['Male'],"['Resistance', 'Exegol landing team']",Good,Wipolo Nagg
Pru Sweevant,[7],['Narq'],['Narquois'],['Male'],"[""Sidon Ithano's crew""]",,Pru Sweevant
Ask Aak,"[2, 3]",['Malastare'],['Gran'],['Male'],"['Galactic Republic', 'Malastare delegation', 'Loyalist Committee']",Good,Ask Aak
Palso Thern,[6],[],['Human'],['Male'],"['Alliance to Restore the Republic', 'Rebel Alliance Starfighter Corps']",Good,Palso Thern
Anj Zavor,[4],['Majoros'],['Human'],['Male'],"['Alliance to Restore the Republic', 'Massassi Group', 'Rebel Fleet Command']",Good,Anj Zavor
Korfé Bennux-Ai,[8],['Celanon'],[],['Male'],['Sienar-Jaemus corporation'],,Korfé Bennux-Ai
Nank Tun,"[2, 3]",[],['Aqualish'],[],['Confederacy of Independent Systems'],,Nank Tun
CT-55/11-9009,[3],['Kamino'],['Human (clone)'],['Male'],"['Galactic Republic', 'Republic Starfighter Corps']",Good,CT-55_11-9009
Sy Snootles,[6],['Lowick'],"[""Pa'lowick""]",['Female'],"['Hutt Clan', 'Kuari PrincessMax Rebo Band', ""Jabba Desilijic Tiure's criminal empire""]",,Sy Snootles
Aarton Chireen,[9],['Jaymir'],['Human'],['Male'],['Resistance'],Good,Aarton Chireen
TK-9091,[4],[],['Human'],['Male'],"['Galactic Empire', '501st Legion']",,TK-9091
Teedo (Niima Outpost),[7],['Jakku'],['Teedo'],['Male'],[],,Teedo (Niima Outpost)
R4-X2,[8],[],['Droid'],[],[],,R4-X2
Poldin LeHuse,[8],[],['Human'],['Male'],"['First Order', 'Starkiller aerial defense force', ""Kylo Ren's personal squadron""]",Evil,Poldin LeHuse
Rodinon,[7],[],['Human'],['Male'],"['First Order', 'First Order military']",Evil,Rodinon
Moof,[7],[],[],[],[],,Moof
Wedge Antilles,"[4, 5, 6, 9]",['Corellia'],"['Human', ' (Corellian)']",['Male'],"['Galactic Empire', 'Alliance to Restore the Republic', 'Phoenix Squadron', 'Red Squadron', 'Rogue Squadron', 'Starlight Squadron', 'New Republic', 'Rogue Squadron', 'Phantom Squadron', 'New Republic Academy', 'Resistance', 'Corellian Team Two', 'Phantom Squadron', ""Citizens' Fleet""]",Good,Wedge Antilles
Klaud,[9],[],['Trodatome'],['Male'],"['Resistance', 'Engineering Corps']",Good,Klaud
ME-8D9,[7],['Takodana'],['Droid'],['Feminine programming'],"['Crymorah syndicate (as an assassin)', 'Takodana Castle']",,ME-8D9
R5-D4,"[2, 4]",[],['Droid'],['Masculine programming'],['Alliance to Restore the Republic'],Good,R5-D4
Pishne,[7],[],[],[],[],,Pishne
Guila Angira,[8],[],[],['Male'],"['Resistance', 'Resistance navy']",Good,Guila Angira
HURID-327,[7],[],['Droid'],['Masculine programming'],['Takodana Castle'],,HURID-327
Engi Golba,[9],['Didyma V'],['Didynon'],['Male'],"['Resistance', 'Exegol landing team']",Good,Engi Golba
Paddy Accu,[2],[],['Human'],['Male'],"['Royal House of Naboo', 'Royal Naboo Security Forces']",,Paddy Accu
Phenlass Sur,[9],[],['Reesarian'],[],['Resistance'],Good,Phenlass Sur
Kaadu,[1],['Naboo'],[],[],[],,Kaadu
Bastian,[7],[],['Human'],['Male'],"['Resistance', 'Red Squadron']",Good,Bastian
Neva Kee,[1],['Xagobah'],['Xamster'],['Male'],[],,Neva Kee
Saylind Donels,[2],[],['Human'],['Male'],"['Jedi Order', 'Bear Clan']",Jedi,Saylind Donels
Wright,[7],[],['Human'],['Female'],"['Resistance', 'Resistance Starfighter Corps']",Good,Wright
KT power droid,[7],[],[],[],[],,KT power droid
R4-G9,[3],[],['Droid'],['Feminine programming'],"['Jedi Order', 'Galactic Republic']",Good,R4-G9
Jenny,[4],[],['Human'],['Female'],[],,Jenny
Unidentified Clone Captain (Geonosis),[2],['Kamino'],['Human (clone)'],['Male'],"['Galactic Republic', 'Grand Army of the Republic']",Good,Unidentified Clone Captain (Geonosis)
TX-8080,[9],['Hevurion'],['Human'],[],"['First Order', 'Kijimi garrison']",Evil,TX-8080
Gragra,[1],['Tatooine'],['Swokes Swokes'],['Female'],[],,Gragra
Edmos Khurgee,[4],[],['Human'],['Male'],"['Galactic Empire', 'Imperial Officer Corps']",,Edmos Khurgee
Myo,[4],['Byss'],['Abyssin'],['Male'],['Galactic Outdoor Survival School'],,Myo
Momaw Nadon,[4],['Ithor'],['Ithorian'],['Male'],['Alliance to Restore the Republic'],Good,Momaw Nadon
R2-SHP,[9],[],['Droid'],['Masculine programming'],['Resistance'],Good,R2-SHP
Infrablue Zedbeddy Coggins,[7],[],['Zenezian'],['Male'],['Shag Kava'],,Infrablue Zedbeddy Coggins
Thala-siren,[8],['Unknown (recently seen on Ahch-To)'],[],[],[],,Thala-siren
Dznori Xam,[3],[],['Kallidahin'],[],[],,Dznori Xam
Chi Eekway Papanoida,[3],['Pantora'],['Pantoran'],['Female'],"['Galactic Republic', 'Delegation of 2,000']",Good,Chi Eekway Papanoida
Hesper-Inguza,[8],['Ahch-To'],['Lanai'],['Male'],['Visitors'],,Hesper-Inguza
Ikopi,[1],['Naboo'],[],[],[],,Ikopi
Unidentified First Order stormtrooper (Steadfast),[9],[],['Human'],['Male'],"['First Order', 'Stormtrooper Corps']",Evil,Unidentified First Order stormtrooper (Steadfast)
C'ai Threnalli,"[7, 8, 9]",['Abednedo'],['Abednedo'],['Male'],"['New Republic', 'New Republic Starfighter Corps', 'Resistance', 'Red Squadron', '""Reb"" Squadron', 'Exegol air team']",Good,C'ai Threnalli
Logray,[6],['Endor'],['Ewok'],['Male'],"['Bright Tree tribe', 'Alliance to Restore the Republic']",Good,Logray
Kren Blista-Vanee,[6],[],['Human'],['Male'],"['Galactic Empire', 'Imperial Ruling Council']",,Kren Blista-Vanee
Ephant Mon,[6],['Vinsoth'],['Chevin'],['Male'],"[""Masse Goskey's Arms Emporium and Explosives Mart"", ""Jabba Desilijic Tiure's criminal empire""]",,Ephant Mon
Bren Derlin,[5],['Tiisheraan'],['Human'],['Male'],"['Alliance to Restore the Republic', 'Rebel Alliance Intelligence Service', 'Endor strike team']",Good,Bren Derlin
Vylla Tendeil,[8],[],[],['Female'],[],,Vylla Tendeil
R5-K6,[4],[],['Droid'],[],"['Alliance to Restore the Republic', 'Red Squadron']",Good,R5-K6
Cardo,"[7, 9]",[],['Humanoid'],['Male'],"['Knights of Ren', 'Crimson Dawn', 'First Order']",Evil,Cardo
TK-4247,[4],[],['Human'],[],"['Galactic Empire', '501st Legion']",,TK-4247
Laa,[1],['Naboo'],[],[],[],,Laa
Rintel Aren,[6],[],['Weequay'],['Male'],"[""Jabba Desilijic Tiure's criminal empire""]",,Rintel Aren
Barok,[9],[],['Human'],['Male'],"['First Order', 'Kijimi garrison']",Evil,Barok
Tee,[1],['Naboo'],[],[],[],,Tee
Lajaie,[4],[],['Human'],['Male'],"['Alliance to Restore the Republic', 'Alliance High Command', 'Beta Group']",Good,Lajaie
Sora Bulq,[2],[],['Weequay'],['Male'],"['Jedi Order', 'Jedi assault team']",Jedi,Sora Bulq
Cat Miin,"[2, 3]",[],['Gossam'],['Female'],"['Commerce Guild', 'Confederacy of Independent Systems']",,Cat Miin
Paploo,[6],['Endor'],['Ewok'],['Male'],"['Bright Tree tribe', 'Alliance to Restore the Republic']",Good,Paploo
Boles Roor,"[1, 2]",['Sneeve'],['Sneevel'],['Male'],[],,Boles Roor
2-1B,"[5, 6]",[],['Droid'],['Masculine programming'],"['Galactic Empire', 'Alliance to Restore the Republic']",Good,2-1B
Midi-chlorian,"[1, 3]",['Wellspring of Life'],[],[],[],,Midi-chlorian
Unidentified creature (Typhonic Nebula),[9],[],[],[],[],,Unidentified creature (Typhonic Nebula)
Doda Bodonawieedo,[6],['Rodia'],['Rodian'],['Male'],['Max Rebo Band'],,Doda Bodonawieedo
Jobal Naberrie,"[2, 3]",['Naboo'],['Human (Naboo)'],['Female'],['Naberrie family'],,Jobal Naberrie
Veertag,[4],[],['Human'],['Male'],['Alliance to Restore the Republic'],Good,Veertag
C-3PO,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",['Tatooine'],['Droid'],['Masculine programming'],"['Skywalker family', 'Confederacy of Independent Systems (briefly)', 'Royal House of Naboo', 'Galactic Republic', 'House of Organa', 'Galactic Empire', 'Alliance to Restore the Republic', 'Heroes of Yavin', 'Endor strike team', 'Bright Tree tribe (honorary member)', 'New Republic', 'Resistance', 'Resistance spy droid network']",Good,C-3PO
Giddean Danu,[3],[],['Human'],['Male'],"['Galactic Republic', 'Delegation of 2,000']",Good,Giddean Danu
Jayelle,[9],[],['Human'],['Female'],"['First Order', 'Company 77', 'Resistance']",Mix,Jayelle
Unidentified flight engineer,[8],[],[],[],"['Resistance', 'Cobalt Squadron']",Good,Unidentified flight engineer
Thomkins Watam,[8],[],['Human'],['Male'],[],,Thomkins Watam
Po Nudo,"[1, 2, 3]",['Ando'],['Ualaq Aqualish'],['Male'],"['Hyper-Communications Cartel', 'Galactic Republic', 'Galactic Senate', 'Confederacy of Independent Systems', 'Executive Separatist Council']",Good,Po Nudo
Endicott,[6],[],['Human'],['Male'],"['Galactic Empire', 'Imperial Officer Corps']",,Endicott
EGL-21,[7],[],['Droid'],['Masculine programming'],[],,EGL-21
Firmus Piett,"[5, 6]",['Axxila'],['Human'],['Male'],"['Galactic Empire', ""Imperial Navy's officer corps"", 'Death Squadron', 'Imperial Navy High Command']",,Firmus Piett
Ubialla Gheal,[8],[],[],['Female'],[],,Ubialla Gheal
Plesko Marno,[9],[],['Ozrelanso'],['Male'],"['New Republic', 'Bureau of Ships and Services']",Good,Plesko Marno
Sifo-Dyas,[2],['Minashee'],['Human'],['Male'],"['Jedi Order', 'Hawkbat Clan', 'Jedi High Council', 'Galactic Republic']",Jedi,Sifo-Dyas
Djas Puhr,[4],[],['Sakiyan'],['Male'],[],,Djas Puhr
Melas,[4],[],['Sarkan'],[],[],,Melas
Vulptex,[8],['Crait'],[],[],[],,Vulptex
Thanlis Depallo,[7],[],['Human'],['Male'],"['New Republic', 'Galactic Senate']",Good,Thanlis Depallo
Plo Koon,"[1, 2, 3]",['Dorin'],['Kel Dor'],['Male'],"['Jedi Order', 'Jedi High Council', 'Jedi assault team', 'Galactic Republic', '104th Battalion', '442nd Siege Battalion']",Jedi,Plo Koon
Kowakian monkey-lizard,[6],['Kowak'],[],[],[],,Kowakian monkey-lizard
Edrison Peavey,[8],[],['Human'],['Male'],"['Galactic Empire', ""Imperial Navy's officer corps"", 'First Order', 'First Order Navy']",Evil,Edrison Peavey
Dorovio Bold,[6],[],['Human'],['Female'],"['Alliance to Restore the Republic', 'Rebel Alliance Starfighter Corps']",Good,Dorovio Bold
Astromech droid,"[7, 8, 9]",[],[],[],[],,Astromech droid
Can-cell,[3],[],[],[],[],,Can-cell
Yipsit,[9],['Bestine IV'],['Shahkirin'],['Male'],['Resistance'],Good,Yipsit
Finis Valorum,[1],['Coruscant'],['Human (Coruscanti)'],['Male'],"['House Valorum', 'Galactic Republic', 'Office of the Chancellor']",Good,Finis Valorum
Gelagrub,[3],[],[],[],[],,Gelagrub
Eugroothwa,[3],['Kashyyyk'],['Wookiee'],['Male'],['Galactic Republic'],Good,Eugroothwa
Jude Edivon,[4],['Bespin'],['Human'],['Female'],"['Galactic Empire', 'Royal Imperial Academy']",,Jude Edivon
Blass Tyran,[7],[],['Human'],['Male'],[],,Blass Tyran
Camie Marstrap,[4],['Tatooine'],['Human'],['Female'],[],,Camie Marstrap
Braata Danlos,"[2, 3]",['Dwartii'],[],[],"['Four Sages of Dwartii', 'Galactic Republic']",Good,Braata Danlos
Chesille Sabrond,[9],['Exegol'],['Human'],['Female'],"['Sith Eternal', 'Final Order']",Evil,Chesille Sabrond
Prime Jedi,[8],[],[],[],['Jedi Order'],Jedi,Prime Jedi
Aftab Ackbar,[9],['Mon Cala'],['Mon Calamari'],['Male'],"['Mon Cala monarchy', 'Mon Cala fleet', 'Resistance', 'Exegol air team']",Good,Aftab Ackbar
Yotts Oren,[6],[],"[""Kadas'sa'Nikto""]",['Male'],"[""Jabba Desilijic Tiure's criminal empire""]",,Yotts Oren
Armo Malou,[8],[],[],['Male'],"['Canto Casino and Racetrack', '']",,Armo Malou
Wam Lufba,[6],['Endor'],['Yuzzum'],[],"[""Jabba Desilijic Tiure's criminal empire""]",,Wam Lufba
Bodhar,[7],[],[],[],[],,Bodhar
Battle droid,[9],[],[],[],[],,Battle droid
Eirtaé,[1],['Naboo'],['Human (Naboo)'],['Female'],"['Royal House of Naboo', 'Naboo Royal Handmaidens', 'Galactic Republic', 'Amidalans']",Good,Eirtaé
Harc Seff,[6],[],['Ishi Tib'],[],[],,Harc Seff
Sylphanie Stil,[9],[],['Kessurian'],['Female'],[],,Sylphanie Stil
R2-Q2,"[4, 7]",[],['Droid'],[],"['Galactic Empire', '501st Legion', 'Resistance']",Good,R2-Q2
Unidentified male First Order officer,[7],[],['Human'],['Male'],"['First Order', 'First Order military']",Evil,Unidentified male First Order officer
IT-000 interrogator droid,[7],[],['Droid'],[],['First Order'],Evil,IT-000 interrogator droid
Fi-Ek Sirch,[2],[],"[""Nikto (Kajain'sa'Nikto)""]",[],"['Jedi Order', 'Jedi assault team']",Jedi,Fi-Ek Sirch
Snoke,"[7, 8, 9]",['Exegol'],['Humanoid genetic strandcast'],['Male'],"['Sith (proxy)', 'First Order']",Evil,Snoke
Romba,[6],['Endor'],['Ewok'],['Male'],"['Unidentified Ewok tribe', 'Bright Tree tribe', 'Alliance to Restore the Republic']",Good,Romba
Sheltay Retrac,[3],['Alderaan'],['Human (Alderaanian)'],['Female'],"['Galactic Republic', 'Alderaanian delegation']",Good,Sheltay Retrac
Mee,[1],['Naboo'],[],[],[],,Mee
Ruwee Naberrie,"[2, 3]",[],['Human'],['Male'],['Naberrie family'],,Ruwee Naberrie
Kendal Ozzel,[5],['Carida'],['Human'],['Male'],"['Galactic Republic', 'Galactic Republic Navy', 'Galactic Empire', 'Joint Chiefs', ""Imperial Navy's officer corps"", 'Death Squadron']",Good,Kendal Ozzel
Sun Fac,[2],['Geonosis'],['Geonosian'],['Male'],['Confederacy of Independent Systems'],,Sun Fac
Ng'ok,"[4, 7, 9]",[],[],[],[],,Ng'ok
Arhul Hextrophon,[4],[],['Human'],['Male'],"['Alliance to Restore the Republic', 'Alliance Military']",Good,Arhul Hextrophon
Tallissan Lintra,[8],['Pippip 3'],['Human'],['Female'],"['Resistance', ""Tallissan Lintra's A-wing squadron"", 'Blue Squadron']",Good,Tallissan Lintra
Giran,[6],['Kintan'],"[""Nikto (Kadas'sa'Nikto)""]",['Male'],"[""Jabba's Palace""]",,Giran
Pemmin Brunce,[8],[],['Ongidae'],['Male'],"['Canto Casino and Racetrack', 'Casino Security']",,Pemmin Brunce
Thistlebuzzer,[9],['Pasaana'],[],[],[],,Thistlebuzzer
Unkar Plutt,"[7, 9]",['Crul'],['Crolute'],['Male'],"[""Unkar's thugs""]",,Unkar Plutt
Fighting droid,[7],[],[],[],[],,Fighting droid
Moradmin Bast,[4],[],['Human'],['Male'],"['Galactic Empire', 'Imperial Army', 'Imperial Officer Corps']",,Moradmin Bast
M'Kae,[5],[],['Human'],['Male'],"['Galactic Empire', 'Death Squadron']",,M'Kae
Teers,[1],['Naboo'],['Gungan (Otolla)'],['Female'],['Gungan High Council'],,Teers
Arthropod,"[2, 3]",[],[],[],[],,Arthropod
Colo claw fish,[1],"['Naboo', 'Odona']",[],[],[],,Colo claw fish
Nerf,[5],"['Alderaan', 'Arkanis', 'Ibaar', 'Jaresh', 'Lothal']",[],[],[],,Nerf
Lusica Stynnix,[8],[],['Human'],['Female'],"['First Order', 'First Order Navy']",Evil,Lusica Stynnix
Coleman Kcaj,[3],['Skustell'],['Ongree'],['Male'],"['Jedi Order', 'Jedi High Council', 'Galactic Republic']",Jedi,Coleman Kcaj
Tan Yuster,[2],[],['Human'],['Male'],"['Jedi Order', 'Jedi assault team', 'Galactic Republic']",Jedi,Tan Yuster
Pooja Naberrie,"[2, 3]",[],['Human'],['Female'],['Naberrie family'],,Pooja Naberrie
Bollie Prindel,"[7, 8]",[],['Urodel'],['Male'],"['Resistance', 'Resistance ground crew']",Good,Bollie Prindel
Vanver Irving,[7],[],[],['Male'],['Irving Boys'],,Vanver Irving
Juronus Opto,[9],[],['Humanoid'],[],[],,Juronus Opto
Athgar Heece,[7],['Dybrin 12'],['Dybrinthe'],['Male'],[],,Athgar Heece
Jessika Pava,[7],['Dandoran'],['Human'],['Female'],"['New Republic', 'New Republic Defense Fleet', 'Resistance', ""Poe Dameron's fighter wing"", 'Blue Squadron', 'Black Squadron']",Good,Jessika Pava
Pattros Navesh,[9],['Lantillies'],['Human'],['Male'],"['Resistance', 'Resistance Starfighter Corps']",Good,Pattros Navesh
Unidentified blind giant,[9],['Mustafar'],[],[],[],,Unidentified blind giant
Greeata Jendowanian,"[3, 6]",['Rodia'],['Rodian'],['Female'],['Kuari PrincessMax Rebo Band'],,Greeata Jendowanian
4-LOM,[5],[],['Droid'],['Masculine programming'],"[""Jabba Desilijic Tiure's criminal empire"", ""Bounty Hunters' Guild""]",,4-LOM
Shasa Tiel,[6],['Tibrin'],['Ishi Tib'],['Female'],"[""Jabba Desilijic Tiure's criminal empire""]",,Shasa Tiel
Arashell Sar,[8],[],['Human'],['Female'],[],,Arashell Sar
Jek Tono Porkins,[4],['Bestine IV'],['Human'],['Male'],"['Alliance to Restore the Republic', 'Tierfon Yellow Ace Chase Squadron', 'Red Squadron']",Good,Jek Tono Porkins
Lama Su,[2],['Kamino'],['Kaminoan'],['Male'],"['Ruling Council', 'Galactic Republic', 'Sith Order (secretly)', 'Galactic Empire']",Good,Lama Su
Sarlacc,[6],"['Felucia', ""I'vorcia Prime"", 'Tatooine', 'Vodran']",[],[],[],,Sarlacc
Selif Xam,[3],[],['Kallidahin'],[],[],,Selif Xam
Tolomar Reez,[7],['Nar Kanji'],['Human'],['Male'],['Kanjiklub'],,Tolomar Reez
Tanner Cadaman,[3],['Feenix'],['Human'],['Male'],"['Galactic Republic', 'Delegation of 2,000', 'Galactic Empire', 'Imperial Senate', 'Alliance to Restore the Republic (secretly)']",Good,Tanner Cadaman
Sheffi,[8],[],[],[],[],,Sheffi
Seventh Guard,[8],[],['Human'],[],"['First Order', 'Elite Praetorian Guard']",Evil,Seventh Guard
